"","body_mass_g","flipper_length_mm"
"1",3750,181
"2",3800,186
"3",3250,195
"4",3450,193
"5",3650,190
"6",3625,181
"7",4675,195
"8",3475,193
"9",4250,190
"10",3300,186
"11",3700,180
"12",3200,182
"13",3800,191
"14",4400,198
"15",3700,185
"16",3450,195
"17",4500,197
"18",3325,184
"19",4200,194
"20",3400,174
"21",3600,180
"22",3800,189
"23",3950,185
"24",3800,180
"25",3800,187
"26",3550,183
"27",3200,187
"28",3150,172
"29",3950,180
"30",3250,178
"31",3900,178
"32",3300,188
"33",3900,184
"34",3325,195
"35",4150,196
"36",3950,190
"37",3550,180
"38",3300,181
"39",4650,184
"40",3150,182
"41",3900,195
"42",3100,186
"43",4400,196
"44",3000,185
"45",4600,190
"46",3425,182
"47",2975,179
"48",3450,190
"49",4150,191
"50",3500,186
"51",4300,188
"52",3450,190
"53",4050,200
"54",2900,187
"55",3700,191
"56",3550,186
"57",3800,193
"58",2850,181
"59",3750,194
"60",3150,185
"61",4400,195
"62",3600,185
"63",4050,192
"64",2850,184
"65",3950,192
"66",3350,195
"67",4100,188
"68",3050,190
"69",4450,198
"70",3600,190
"71",3900,190
"72",3550,196
"73",4150,197
"74",3700,190
"75",4250,195
"76",3700,191
"77",3900,184
"78",3550,187
"79",4000,195
"80",3200,189
"81",4700,196
"82",3800,187
"83",4200,193
"84",3350,191
"85",3550,194
"86",3800,190
"87",3500,189
"88",3950,189
"89",3600,190
"90",3550,202
"91",4300,205
"92",3400,185
"93",4450,186
"94",3300,187
"95",4300,208
"96",3700,190
"97",4350,196
"98",2900,178
"99",4100,192
"100",3725,192
"101",4725,203
"102",3075,183
"103",4250,190
"104",2925,193
"105",3550,184
"106",3750,199
"107",3900,190
"108",3175,181
"109",4775,197
"110",3825,198
"111",4600,191
"112",3200,193
"113",4275,197
"114",3900,191
"115",4075,196
"116",2900,188
"117",3775,199
"118",3350,189
"119",3325,189
"120",3150,187
"121",3500,198
"122",3450,176
"123",3875,202
"124",3050,186
"125",4000,199
"126",3275,191
"127",4300,195
"128",3050,191
"129",4000,210
"130",3325,190
"131",3500,197
"132",3500,193
"133",4475,199
"134",3425,187
"135",3900,190
"136",3175,191
"137",3975,200
"138",3400,185
"139",4250,193
"140",3400,193
"141",3475,187
"142",3050,188
"143",3725,190
"144",3000,192
"145",3650,185
"146",4250,190
"147",3475,184
"148",3450,195
"149",3750,193
"150",3700,187
"151",4000,201
"152",4500,211
"153",5700,230
"154",4450,210
"155",5700,218
"156",5400,215
"157",4550,210
"158",4800,211
"159",5200,219
"160",4400,209
"161",5150,215
"162",4650,214
"163",5550,216
"164",4650,214
"165",5850,213
"166",4200,210
"167",5850,217
"168",4150,210
"169",6300,221
"170",4800,209
"171",5350,222
"172",5700,218
"173",5000,215
"174",4400,213
"175",5050,215
"176",5000,215
"177",5100,215
"178",4100,216
"179",5650,215
"180",4600,210
"181",5550,220
"182",5250,222
"183",4700,209
"184",5050,207
"185",6050,230
"186",5150,220
"187",5400,220
"188",4950,213
"189",5250,219
"190",4350,208
"191",5350,208
"192",3950,208
"193",5700,225
"194",4300,210
"195",4750,216
"196",5550,222
"197",4900,217
"198",4200,210
"199",5400,225
"200",5100,213
"201",5300,215
"202",4850,210
"203",5300,220
"204",4400,210
"205",5000,225
"206",4900,217
"207",5050,220
"208",4300,208
"209",5000,220
"210",4450,208
"211",5550,224
"212",4200,208
"213",5300,221
"214",4400,214
"215",5650,231
"216",4700,219
"217",5700,230
"218",4650,214
"219",5800,229
"220",4700,220
"221",5550,223
"222",4750,216
"223",5000,221
"224",5100,221
"225",5200,217
"226",4700,216
"227",5800,230
"228",4600,209
"229",6000,220
"230",4750,215
"231",5950,223
"232",4625,212
"233",5450,221
"234",4725,212
"235",5350,224
"236",4750,212
"237",5600,228
"238",4600,218
"239",5300,218
"240",4875,212
"241",5550,230
"242",4950,218
"243",5400,228
"244",4750,212
"245",5650,224
"246",4850,214
"247",5200,226
"248",4925,216
"249",4875,222
"250",4625,203
"251",5250,225
"252",4850,219
"253",5600,228
"254",4975,215
"255",5500,228
"256",4725,216
"257",5500,215
"258",4700,210
"259",5500,219
"260",4575,208
"261",5500,209
"262",5000,216
"263",5950,229
"264",4650,213
"265",5500,230
"266",4375,217
"267",5850,230
"268",4875,217
"269",6000,222
"270",4925,214
"271",4850,215
"272",5750,222
"273",5200,212
"274",5400,213
"275",3500,192
"276",3900,196
"277",3650,193
"278",3525,188
"279",3725,197
"280",3950,198
"281",3250,178
"282",3750,197
"283",4150,195
"284",3700,198
"285",3800,193
"286",3775,194
"287",3700,185
"288",4050,201
"289",3575,190
"290",4050,201
"291",3300,197
"292",3700,181
"293",3450,190
"294",4400,195
"295",3600,181
"296",3400,191
"297",2900,187
"298",3800,193
"299",3300,195
"300",4150,197
"301",3400,200
"302",3800,200
"303",3700,191
"304",4550,205
"305",3200,187
"306",4300,201
"307",3350,187
"308",4100,203
"309",3600,195
"310",3900,199
"311",3850,195
"312",4800,210
"313",2700,192
"314",4500,205
"315",3950,210
"316",3650,187
"317",3550,196
"318",3500,196
"319",3675,196
"320",4450,201
"321",3400,190
"322",4300,212
"323",3250,187
"324",3675,198
"325",3325,199
"326",3950,201
"327",3600,193
"328",4050,203
"329",3350,187
"330",3450,197
"331",3250,191
"332",4050,203
"333",3800,202
"334",3525,194
"335",3950,206
"336",3650,189
"337",3650,195
"338",4000,207
"339",3400,202
"340",3775,193
"341",4100,210
"342",3775,198
